order_id,customer_id,order_date,channel,order_status,payment_method,shipping_cost,discount_pct,total_amount
ORD118371,CUST005211,2026-02-14,Online,Completed,Gift Card,0.0,5,1098.0
ORD103955,CUST004689,2021-06-07,Mobile App,Completed,Paypal,0.0,0,349.47
ORD102242,CUST006035,2023-06-01,Online,Completed,Debit Card,12.99,15,981.0
ORD125665,CUST002265,2026-04-05,Mobile App,Completed,Debit Card,0.0,0,120.61
ORD108154,CUST000471,2022-06-28,Mobile App,Completed,Debit Card,5.99,0,225.89
ORD113987,CUST000425,2022-09-12,Mobile App,Completed,Gift Card,7.99,0,1290.54
ORD109948,CUST004346,2023-06-04,Online,Completed,Gift Card,0.0,0,486.62
ORD127164,CUST004624,2024-05-05,Mobile App,Completed,Paypal,12.99,0,1521.65
ORD115039,CUST001777,2025-01-13,In-Store,Returned,Paypal,5.99,0,3356.88
ORD111749,CUST001249,2024-04-15,Online,Returned,Paypal,5.99,0,96.05
ORD101492,CUST000182,2023-04-13,Online,Returned,Debit Card,5.99,0,1565.46
ORD124328,CUST000766,2025-12-18,Mobile App,Completed,Store Credit,5.99,10,939.04
ORD103194,CUST001409,2022-06-09,In-Store,Completed,Credit Card,0.0,15,1571.44
ORD103567,CUST001074,2025-06-23,In-Store,Completed,Gift Card,7.99,0,4102.9
ORD125861,CUST002739,2024-03-13,In-Store,Cancelled,Debit Card,5.99,10,2029.22
ORD114774,CUST003985,2024-02-28,Online,Completed,Debit Card,0.0,0,1311.54
ORD117227,CUST000687,2026-05-04,Online,Completed,Debit Card,12.99,0,2078.66
ORD128108,CUST006073,2026-05-04,In-Store,Completed,Credit Card,5.99,0,306.26
ORD123138,CUST002795,2026-04-28,In-Store,Completed,Store Credit,7.99,0,949.9
ORD113145,CUST003906,2024-05-06,Mobile App,Completed,Credit Card,5.99,25,3655.0
ORD121063,CUST000804,2025-11-20,Mobile App,Completed,Paypal,4.99,0,735.41
ORD126660,CUST000141,2024-10-29,In-Store,Completed,Paypal,5.99,0,794.4
ORD102158,CUST001255,2023-06-11,Online,Completed,Debit Card,0.0,0,1366.6
ORD125750,CUST000864,2024-06-17,Mobile App,Cancelled,Gift Card,0.0,5,1105.07
ORD109486,CUST005744,2023-02-24,In-Store,Completed,Credit Card,5.99,0,1073.15
ORD104275,CUST000345,2026-03-17,In-Store,Completed,Credit Card,7.99,15,1071.07
ORD118180,CUST003647,2023-04-23,Online,Cancelled,Credit Card,0.0,10,991.85
ORD115966,CUST002731,2025-07-28,Mobile App,Completed,Debit Card,12.99,0,1286.27
ORD110615,CUST000217,2025-07-26,In-Store,Completed,Debit Card,12.99,0,420.42
ORD123177,CUST005184,2025-11-08,Online,Completed,Credit Card,7.99,0,2639.29
ORD122911,CUST002984,2021-02-02,Online,Completed,Paypal,0.0,0,5670.22
ORD123371,CUST004939,2025-04-14,Mobile App,Completed,Paypal,7.99,0,2258.13
ORD106543,CUST001069,2024-09-16,Mobile App,Completed,Debit Card,7.99,0,4320.85
ORD120949,CUST001669,2024-01-31,Mobile App,Completed,Store Credit,4.99,0,1990.89
ORD122172,CUST004997,2025-05-25,Mobile App,Completed,Store Credit,7.99,10,2805.49
ORD105000,CUST000571,2025-09-07,Mobile App,Completed,Debit Card,4.99,25,507.89
ORD124569,CUST002619,2021-03-24,Mobile App,Completed,Credit Card,5.99,25,1133.25
ORD100317,CUST001125,2024-07-21,Mobile App,Completed,Store Credit,7.99,0,2976.3
ORD117087,CUST004090,2025-03-04,In-Store,Completed,Paypal,4.99,0,1442.4
ORD109035,CUST004029,2024-05-31,Online,Completed,Debit Card,4.99,0,492.83
ORD124892,CUST004051,2025-02-21,Mobile App,Completed,Store Credit,0.0,0,868.3
ORD125133,CUST001339,2026-03-19,In-Store,Completed,Gift Card,4.99,5,2960.26
ORD118788,CUST005571,2023-04-02,Online,Completed,Credit Card,7.99,5,1938.12
ORD114426,CUST002395,2023-09-18,In-Store,Completed,Store Credit,0.0,5,1495.93
ORD126483,CUST000761,2025-03-24,Online,Completed,Credit Card,4.99,25,1577.63
ORD122794,CUST004665,2026-05-24,In-Store,Completed,Credit Card,0.0,0,857.84
ORD113809,CUST002226,2025-04-02,Mobile App,Completed,Store Credit,5.99,20,890.02
ORD119777,CUST003210,2025-08-15,Mobile App,Returned,Paypal,0.0,0,1439.09
ORD127382,CUST002671,2024-01-20,In-Store,Completed,Debit Card,5.99,0,1079.1
ORD108757,CUST005094,2024-06-21,In-Store,Completed,Paypal,12.99,0,3868.44
ORD119703,CUST003480,,Online,Completed,Paypal,12.99,0,1483.08
ORD109114,CUST001313,2025-01-29,Mobile App,Cancelled,Debit Card,12.99,10,4383.32
ORD122386,CUST005062,2024-08-03,In-Store,Completed,Gift Card,7.99,0,1570.13
ORD106987,CUST003110,2024-10-22,In-Store,Completed,Gift Card,7.99,0,3040.25
ORD116830,CUST005769,2023-05-10,In-Store,Completed,Store Credit,12.99,0,1839.46
ORD104423,CUST002570,2025-08-01,In-Store,Completed,Credit Card,4.99,5,679.95
ORD117912,CUST004269,2024-11-20,In-Store,Completed,Gift Card,0.0,0,1569.07
ORD121842,CUST001100,2024-05-30,Mobile App,Completed,Gift Card,4.99,15,1039.79
ORD106298,CUST003856,2024-03-09,Online,Completed,Store Credit,12.99,0,2177.31
ORD115677,CUST006061,2024-10-06,Online,Completed,Paypal,7.99,0,2064.5
ORD109075,CUST000733,2023-04-04,Online,Completed,Paypal,0.0,0,404.26
ORD101040,CUST001098,2024-08-04,In-Store,Completed,Paypal,4.99,0,591.17
ORD108307,CUST001460,2025-02-20,In-Store,Completed,Store Credit,4.99,0,2366.41
ORD119216,CUST006029,2022-12-23,Mobile App,Completed,Gift Card,4.99,0,3112.22
ORD115558,CUST005581,2025-11-04,In-Store,Cancelled,Gift Card,7.99,0,1916.58
ORD117357,CUST003987,2025-07-25,Mobile App,Completed,Paypal,7.99,0,1247.04
ORD102566,CUST004304,2024-04-11,In-Store,Completed,Gift Card,12.99,0,2004.7
ORD114745,CUST002422,2025-06-01,Mobile App,Pending,Paypal,12.99,10,878.17
ORD106427,CUST003479,2026-03-09,Mobile App,Completed,Gift Card,5.99,0,4608.76
ORD107842,CUST001240,2024-10-21,Mobile App,Completed,Gift Card,5.99,0,2267.87
ORD110967,CUST005687,2025-07-10,In-Store,Completed,Paypal,5.99,0,905.71
ORD121789,CUST003826,2024-05-03,In-Store,Completed,Paypal,12.99,15,1083.58
ORD120946,CUST006002,2025-07-13,In-Store,Completed,Credit Card,7.99,0,3448.48
ORD108879,CUST002328,2025-07-09,In-Store,Completed,Paypal,4.99,5,2203.02
ORD127174,CUST002450,2025-03-27,In-Store,Completed,Gift Card,5.99,0,1557.84
ORD117295,CUST000320,2025-11-01,Online,Completed,Gift Card,4.99,15,120.52
ORD108956,CUST004494,2023-03-17,In-Store,Completed,Paypal,5.99,0,2165.61
ORD103497,CUST005271,2022-08-10,Online,Completed,Gift Card,4.99,10,770.27
ORD109896,CUST002534,2023-02-11,Online,Completed,Debit Card,7.99,0,1701.98
ORD118088,CUST001053,2026-02-04,Online,Completed,Paypal,5.99,0,1610.0
ORD102910,CUST005145,2023-01-01,Mobile App,Completed,Credit Card,4.99,0,1805.27
ORD106480,CUST002406,2022-08-21,Online,Completed,Credit Card,0.0,0,1240.98
ORD125330,CUST002854,2025-09-16,In-Store,Returned,Debit Card,12.99,0,238.58
