order_item_id,order_id,product_id,quantity,unit_price_at_purchase
OI562911,ORD116225,PROD1021,3,45.21
OI506869,ORD102266,PROD1124,2,982.99
OI529520,ORD100873,PROD1129,1,326.95
OI545253,ORD126873,PROD1097,2,247.92
OI526160,ORD105507,PROD1025,1,940.93
OI546448,ORD104677,PROD1017,2,963.21
OI526110,ORD114553,PROD1023,1,264.02
OI564981,ORD118991,PROD1128,1,841.93
OI509940,ORD124197,PROD1102,2,305.79
OI524235,ORD115362,PROD1065,3,263.78
OI501656,ORD116266,PROD1076,1,121.4
OI566876,ORD115473,PROD1150,1,49.73
OI517523,ORD103742,PROD1071,4,336.64
OI513156,ORD115511,PROD1142,1,313.82
OI545553,ORD113159,PROD1014,2,313.54
OI519639,ORD105220,PROD1061,1,185.95
OI564419,ORD101355,PROD1141,2,213.28
OI552922,ORD110453,PROD1212,1,56.26
OI541142,ORD115337,PROD1108,2,319.45
OI562502,ORD112145,PROD1041,1,184.49
OI509584,ORD109024,PROD1139,1,674.63
OI527926,ORD120281,PROD1086,2,337.54
OI524608,ORD123110,PROD1024,1,332.04
OI573393,ORD100232,PROD1002,1,97.94
OI542946,ORD120081,PROD1182,2,689.76
OI552029,ORD113418,PROD1205,1,338.68
OI572833,ORD100647,PROD1184,1,111.41
OI509368,ORD117236,PROD1101,1,175.37
OI557535,ORD124858,PROD1146,1,577.67
OI505682,ORD113497,PROD1028,1,59.17
OI555378,ORD107588,PROD1107,1,450.89
OI514913,ORD120611,PROD1001,1,624.51
OI534842,ORD105394,PROD1130,2,661.21
OI564763,ORD106737,PROD1049,1,20.05
OI533793,ORD124789,PROD1032,1,240.78
OI566400,ORD111114,PROD1054,2,127.86
OI556428,ORD102899,PROD1100,2,364.76
OI511012,ORD106758,PROD1217,1,86.95
OI521910,ORD113917,PROD1048,1,389.78
OI565755,ORD112545,PROD1167,1,29.9
OI523760,ORD104643,PROD1213,2,465.48
OI534562,ORD100690,PROD1213,2,460.73
OI566543,ORD119472,PROD1008,1,251.61
OI552434,ORD106460,PROD1096,1,773.85
OI519870,ORD117678,PROD1203,3,202.38
OI550114,ORD109779,PROD1172,2,346.45
OI503985,ORD114682,PROD1126,3,587.61
OI509240,ORD114538,PROD1070,3,619.24
OI551617,ORD104924,PROD1006,3,525.61
OI557659,ORD102261,PROD1210,1,750.08
OI519088,ORD124245,PROD1033,1,145.22
OI516355,ORD118736,PROD1204,2,505.42
OI520048,ORD110457,PROD1212,2,56.32
OI511992,ORD125115,PROD1033,2,149.19
OI555245,ORD105187,PROD1179,1,805.96
OI535790,ORD117422,PROD1068,1,476.44
OI526220,ORD125964,PROD1186,2,94.76
OI568161,ORD106710,PROD1164,1,283.82
OI528777,ORD108362,PROD1013,2,165.36
OI565101,ORD116216,PROD1201,2,499.44
OI557207,ORD112519,PROD1029,3,37.91
OI508564,ORD115583,PROD1077,1,639.54
OI562124,ORD126167,PROD1201,1,495.48
OI543205,ORD104788,PROD1094,1,348.89
OI549842,ORD100643,PROD1188,1,436.93
OI572087,ORD107473,PROD1167,1,29.98
OI534974,ORD121444,PROD1181,1,375.01
OI555253,ORD102852,PROD1080,1,326.72
OI510020,ORD124211,PROD1090,1,201.97
OI524909,ORD112718,PROD1051,1,263.93
OI573278,ORD103594,PROD1217,2,86.68
OI537928,ORD100841,PROD1216,1,344.64
OI569349,ORD101004,PROD1211,1,80.63
OI511100,ORD118982,PROD1185,4,56.05
OI519981,ORD102840,PROD1090,4,203.86
OI554355,ORD116628,PROD1086,1,333.05
OI551952,ORD122528,PROD1047,2,626.96
OI571074,ORD109632,PROD1064,1,13.65
OI539793,ORD113908,PROD1211,1,78.61
OI534280,ORD103958,PROD1050,1,35.67
OI509123,ORD113227,PROD1109,1,663.68
OI550620,ORD111105,PROD1048,1,401.51
OI530266,ORD117011,PROD1117,4,190.95
OI524899,ORD112987,PROD1190,1,113.56
OI511500,ORD108684,PROD1095,1,105.82
OI521946,ORD121017,PROD1127,1,150.41
OI549549,ORD111866,PROD1014,3,314.87
OI505157,ORD103057,PROD1153,1,363.57
OI561542,ORD110865,PROD1208,1,211.79
OI513767,ORD114189,PROD1024,2,343.72
OI570985,ORD100223,PROD1144,2,255.42
OI503299,ORD112572,PROD1218,3,83.04
OI552860,ORD106571,PROD1141,1,210.43
OI538054,ORD104086,PROD1107,1,452.1
OI567852,ORD123622,PROD1152,1,774.55
OI517276,ORD107104,PROD1035,1,490.05
