Customer_Count,Churn_Rate
25,88.0
30,83.33
34,79.41
24,79.17
33,78.79
36,77.78
36,77.78
30,76.67
38,76.32
38,76.32
21,76.19
116,75.86
108,74.07
27,74.07
34,73.53
40,72.5
119,71.43
141,70.92
135,70.37
108,70.37
121,70.25
30,70.0
30,70.0
116,69.83
33,69.7
112,69.64
23,69.57
111,69.37
26,69.23
245,68.16
116,68.1
28,67.86
124,67.74
120,67.5
106,66.98
118,66.95
124,66.94
139,66.91
244,66.8
243,66.67
135,66.67
24,66.67
35,65.71
250,65.6
263,65.4
267,65.17
132,65.15
37,64.86
31,64.52
250,64.4
92,64.13
131,64.12
33,63.64
123,63.41
27,62.96
116,62.93
106,62.26
37,62.16
26,61.54
26,61.54
40,60.0
22,59.09
29,58.62
127,58.27
31,58.06
119,57.98
28,57.14
35,54.29
35,54.29
32,53.12
21,52.38
22,45.45
26,42.31
